ndc_code,proprietary_name,drug_dosage,drug_strength,ndc_id,drug_id,manufacturer_name
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,27,104,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,28,94,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,29,25,"Medefil, Inc."
63304-693-11,Clindamycin Hydrochloride,Capsule,300 mg,30,568,Sun Pharmaceutical Industries Limited
63323-493-91,Xylocaine,Injection,15 mg/1 mL,31,600,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,32,510,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,33,468,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,34,463,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,35,457,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,36,441,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,37,300,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,38,289,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,39,152,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,40,111,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,41,80,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,42,79,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,43,72,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,44,71,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,45,40,"Fresenius Kabi USA, LLC"
63323-493-91,Xylocaine,Injection,15 mg/1 mL,46,19,"Fresenius Kabi USA, LLC"
0121-4950-40,Lidocaine Hydrochloride Viscous,Solution,20 mg/1 mL,47,337,PAI Pharma
0121-4950-40,Lidocaine Hydrochloride Viscous,Solution,20 mg/1 mL,48,210,PAI Pharma
0121-4950-40,Lidocaine Hydrochloride Viscous,Solution,20 mg/1 mL,49,81,PAI Pharma
0121-4950-40,Lidocaine Hydrochloride Viscous,Solution,20 mg/1 mL,50,59,PAI Pharma
0121-4950-40,Lidocaine Hydrochloride Viscous,Solution,20 mg/1 mL,51,7,PAI Pharma
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,52,539,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,53,502,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,54,490,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,55,486,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,56,453,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,57,433,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,58,378,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,59,310,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,60,271,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,61,223,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,62,219,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,63,183,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,64,146,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,65,124,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,66,88,Apotex Corp.
60505-4741-1,Lisdexamfetamine Dimesylate,Capsule,30 mg,67,8,Apotex Corp.
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,68,539,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,69,502,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,70,490,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,71,486,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,72,453,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,73,433,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,74,378,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,75,310,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,76,271,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,77,223,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,78,219,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,79,183,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,80,146,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,81,124,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,82,88,"Teva Pharmaceuticals USA, Inc."
0480-3566-01,Lisdexamfetamine Dimesylate,Capsule,20 mg,83,8,"Teva Pharmaceuticals USA, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,84,630,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,85,626,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,86,590,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,87,516,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,88,481,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,89,474,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,90,452,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,91,236,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,92,197,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,93,181,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,94,171,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,95,170,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,96,110,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,97,46,"Sunrise Pharmaceutical, Inc."
11534-195-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,5 mg; 5 mg; 5 mg; 5 mg,98,45,"Sunrise Pharmaceutical, Inc."
59572-102-01,Vidaza,Injection,100 mg,99,636,Bristol Myers Squibb Co.
59572-102-01,Vidaza,Injection,100 mg,100,544,Bristol Myers Squibb Co.
59572-102-01,Vidaza,Injection,100 mg,101,399,Bristol Myers Squibb Co.
59572-102-01,Vidaza,Injection,100 mg,102,272,Bristol Myers Squibb Co.
59572-102-01,Vidaza,Injection,100 mg,103,216,Bristol Myers Squibb Co.
59572-102-01,Vidaza,Injection,100 mg,104,187,Bristol Myers Squibb Co.
59572-102-01,Vidaza,Injection,100 mg,105,49,Bristol Myers Squibb Co.
59572-102-01,Vidaza,Injection,100 mg,106,0,Bristol Myers Squibb Co.
0409-1749-10,Marcaine With Epinephrine,Injection,"Marcaine with Epinephrine 1:200,000 as the bitartrate 50 mg/10 mL (5 mg/mL 1:200,000)",107,611,"Hospira, Inc., a Pfizer Company"
0409-1749-10,Marcaine With Epinephrine,Injection,"Marcaine with Epinephrine 1:200,000 as the bitartrate 50 mg/10 mL (5 mg/mL 1:200,000)",108,591,"Hospira, Inc., a Pfizer Company"
0409-1749-10,Marcaine With Epinephrine,Injection,"Marcaine with Epinephrine 1:200,000 as the bitartrate 50 mg/10 mL (5 mg/mL 1:200,000)",109,350,"Hospira, Inc., a Pfizer Company"
0409-1749-10,Marcaine With Epinephrine,Injection,"Marcaine with Epinephrine 1:200,000 as the bitartrate 50 mg/10 mL (5 mg/mL 1:200,000)",110,233,"Hospira, Inc., a Pfizer Company"
0409-1749-10,Marcaine With Epinephrine,Injection,"Marcaine with Epinephrine 1:200,000 as the bitartrate 50 mg/10 mL (5 mg/mL 1:200,000)",111,29,"Hospira, Inc., a Pfizer Company"
0143-9933-25,Cefotaxime Sodium,"Powder, For Solution",2 g,112,467,"Hikma Pharmaceuticals USA, Inc."
0143-9933-25,Cefotaxime Sodium,"Powder, For Solution",2 g,113,95,"Hikma Pharmaceuticals USA, Inc."
72572-076-24,Clindamycin Phosphate In 5% Dextrose In Plastic Container,Injection,18 mg/1 mL,114,641,Sandoz Inc.
72572-076-24,Clindamycin Phosphate In 5% Dextrose In Plastic Container,Injection,18 mg/1 mL,115,579,Sandoz Inc.
72572-076-24,Clindamycin Phosphate In 5% Dextrose In Plastic Container,Injection,18 mg/1 mL,116,454,Sandoz Inc.
72572-076-24,Clindamycin Phosphate In 5% Dextrose In Plastic Container,Injection,18 mg/1 mL,117,417,Sandoz Inc.
72572-076-24,Clindamycin Phosphate In 5% Dextrose In Plastic Container,Injection,18 mg/1 mL,118,283,Sandoz Inc.
72572-076-24,Clindamycin Phosphate In 5% Dextrose In Plastic Container,Injection,18 mg/1 mL,119,96,Sandoz Inc.
72572-076-24,Clindamycin Phosphate In 5% Dextrose In Plastic Container,Injection,18 mg/1 mL,120,17,Sandoz Inc.
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,121,577,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,122,574,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,123,556,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,124,533,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,125,492,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,126,483,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,127,382,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,128,335,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,129,285,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,130,230,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,131,77,"Amphastar Pharmaceuticals, Inc."
76329-1912-1,Morphine Sulfate,Injection,1 mg/1 mL,132,62,"Amphastar Pharmaceuticals, Inc."
0406-1170-03,Naltrexone Hydrochloride,Tablet,50 mg,133,603,SpecGx LLC
0406-1170-03,Naltrexone Hydrochloride,Tablet,50 mg,134,601,SpecGx LLC
0406-1170-03,Naltrexone Hydrochloride,Tablet,50 mg,135,557,SpecGx LLC
0406-1170-03,Naltrexone Hydrochloride,Tablet,50 mg,136,240,SpecGx LLC
0406-1170-03,Naltrexone Hydrochloride,Tablet,50 mg,137,143,SpecGx LLC
0406-1170-03,Naltrexone Hydrochloride,Tablet,50 mg,138,140,SpecGx LLC
0406-1170-03,Naltrexone Hydrochloride,Tablet,50 mg,139,120,SpecGx LLC
0228-2069-10,Oxazepam,Capsule,15 mg,140,125,"Teva Pharmaceuticals USA, Inc."
0093-7201-10,Pravastatin Sodium,Tablet,20 mg,141,409,"Teva Pharmaceuticals USA, Inc."
0641-6082-25,Promethazine Hydrochloride,Injection,25 mg/1 mL,142,534,"Hikma Pharmaceuticals USA, Inc."
0641-6082-25,Promethazine Hydrochloride,Injection,25 mg/1 mL,143,505,"Hikma Pharmaceuticals USA, Inc."
0641-6082-25,Promethazine Hydrochloride,Injection,25 mg/1 mL,144,347,"Hikma Pharmaceuticals USA, Inc."
0641-6082-25,Promethazine Hydrochloride,Injection,25 mg/1 mL,145,173,"Hikma Pharmaceuticals USA, Inc."
0591-2998-01,Ursodiol,Tablet,250 mg,146,434,"Teva Pharmaceuticals USA, Inc."
65862-586-05,Amlodipine Besylate; Benazepril Hydrochloride,Capsule,10 mg; 20 mg,147,309,Aurobindo Pharma USA
0173-0897-13,Jesduvroq,Tablet,1 mg,148,131,GlaxoSmithKline
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,149,600,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,150,510,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,151,468,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,152,463,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,153,457,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,154,441,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,155,300,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,156,289,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,157,152,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,158,111,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,159,80,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,160,79,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,161,72,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,162,71,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,163,40,Baxter Healthcare
0338-0411-02,Lidocaine Hydrochloride And Dextrose,Injection,8 mg/1 mL,164,19,Baxter Healthcare
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,165,539,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,166,502,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,167,490,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,168,486,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,169,453,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,170,433,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,171,378,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,172,310,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,173,271,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,174,223,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,175,219,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,176,183,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,177,146,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,178,124,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,179,88,"Hikma Pharmaceuticals USA, Inc."
0054-0375-25,Lisdexamfetamine Dimesylate,Capsule,70 mg,180,8,"Hikma Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,181,644,"Teva Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,182,555,"Teva Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,183,546,"Teva Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,184,498,"Teva Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,185,464,"Teva Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,186,321,"Teva Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,187,148,"Teva Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,188,75,"Teva Pharmaceuticals USA, Inc."
62037-727-01,"Methylphenidate Hydrochloride Extended-Release Tablets, Usp   Cii","Tablet, Extended Release",54 mg,189,9,"Teva Pharmaceuticals USA, Inc."
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,190,644,"Trigen Laboratories, LLC"
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,191,555,"Trigen Laboratories, LLC"
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,192,546,"Trigen Laboratories, LLC"
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,193,498,"Trigen Laboratories, LLC"
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,194,464,"Trigen Laboratories, LLC"
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,195,321,"Trigen Laboratories, LLC"
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,196,148,"Trigen Laboratories, LLC"
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,197,75,"Trigen Laboratories, LLC"
13811-710-30,Methylphenidate Hydrochloride,"Tablet, Extended Release",72 mg,198,9,"Trigen Laboratories, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,199,620,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,200,583,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,201,543,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,202,493,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,203,480,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,204,402,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,205,319,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,206,311,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,207,304,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,208,292,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,209,282,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,210,270,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,211,269,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,212,266,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,213,259,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,214,245,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,215,241,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,216,231,"Fresenius Kabi USA, LLC"
65219-466-60,Sodium Chloride 0.9% In Plastic Container,Injection,9 mg/1 mL,217,227,"Fresenius Kabi USA, LLC"
